"id","idProdutoCafe","idFuncionario","idUsuario","DataCompra","Qtde","Unitario","Total","update_at","deleted_at","insert_at"
"55","2","1774","4971","13/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/5/2023 09:27:34"
"56","5","4968","4971","13/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/5/2023 10:00:19"
"57","5","4629","4971","13/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/5/2023 10:41:38"
"58","5","4968","4971","15/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"15/5/2023 11:11:48"
"59","2","1774","4971","16/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"16/5/2023 10:25:41"
"60","4","4868","4971","16/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"16/5/2023 10:26:09"
"61","2","1774","4971","17/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"17/5/2023 09:39:18"
"62","2","1774","4971","18/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"18/5/2023 08:57:42"
"63","2","1774","4971","19/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"19/5/2023 09:26:36"
"64","5","4968","4971","19/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"19/5/2023 09:26:51"
"65","4","4868","4971","19/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/5/2023 09:27:08"
"66","5","4629","4629","19/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/5/2023 17:02:29"
"67","1","5418","4971","20/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"20/5/2023 09:08:19"
"68","2","1774","4971","22/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"22/5/2023 11:08:37"
"69","5","4968","4971","22/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"22/5/2023 11:08:53"
"70","2","1774","4971","23/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"23/5/2023 11:09:31"
"71","4","4868","4971","23/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"23/5/2023 11:09:55"
"72","2","5420","4629","24/5/2023","4","2.3","9.2","25/5/2023 17:25:33",,"25/5/2023 17:25:33"
"73","2","5420","4629","25/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"25/5/2023 17:25:15"
"74","1","4868","4629","25/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"25/5/2023 17:26:18"
"75","2","1774","4629","25/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"25/5/2023 17:26:33"
"76","5","4968","4629","25/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"25/5/2023 17:26:52"
"77","2","1774","4971","26/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"26/5/2023 16:07:08"
"78","4","5420","4971","26/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"26/5/2023 16:07:25"
"79","5","4868","4971","26/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"26/5/2023 16:09:43"
"80","5","5420","4971","27/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"27/5/2023 10:01:04"
"81","4","4868","4971","27/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"27/5/2023 10:01:32"
"82","2","1774","4971","29/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"29/5/2023 12:52:27"
"83","4","5420","4971","29/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"29/5/2023 12:53:24"
"84","5","4868","4971","29/5/2023","2","2.3","4.6","1/1/1 00:00:00",,"29/5/2023 12:54:10"
"85","5","4968","4971","30/5/2023","1","2.3","2.3","1/1/1 00:00:00",,"30/5/2023 10:55:05"
"86","5","4968","4629","1/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"1/6/2023 08:49:26"
"87","5","5420","4971","1/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"1/6/2023 11:49:55"
"88","4","4868","4971","1/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"1/6/2023 11:50:12"
"89","2","1774","4971","1/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"1/6/2023 11:50:26"
"90","5","4629","4971","1/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"1/6/2023 11:50:44"
"91","4","5420","4971","2/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"2/6/2023 16:56:24"
"92","5","4968","4971","2/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"2/6/2023 16:56:46"
"93","5","4866","4971","3/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"3/6/2023 09:35:35"
"94","2","1774","4971","3/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"3/6/2023 09:36:34"
"95","4","5420","4629","3/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"3/6/2023 09:38:35"
"96","2","4868","4629","3/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"3/6/2023 09:38:54"
"97","2","1774","4971","5/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"5/6/2023 10:00:47"
"98","5","5420","4971","5/6/2023","2","2.3","4.6","5/6/2023 10:01:31",,"5/6/2023 10:01:31"
"99","4","4868","4971","5/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"5/6/2023 10:02:07"
"100","5","4629","4971","5/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"5/6/2023 10:02:24"
"101","2","5420","4629","6/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"6/6/2023 09:30:20"
"102","2","4868","4629","6/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"6/6/2023 09:30:40"
"103","2","1774","4629","6/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"6/6/2023 09:30:55"
"104","5","4968","4971","6/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"6/6/2023 09:41:00"
"105","5","5420","4971","6/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"6/6/2023 16:36:53"
"106","5","4868","4971","6/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"6/6/2023 16:37:11"
"107","1","5418","4971","7/6/2023","5","2.3","11.5","1/1/1 00:00:00",,"7/6/2023 09:51:36"
"108","5","4629","4971","7/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"7/6/2023 09:51:54"
"109","1","5420","4971","9/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"9/6/2023 09:56:38"
"110","5","4868","4971","9/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"9/6/2023 09:56:58"
"111","2","1774","4971","9/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"9/6/2023 09:57:15"
"112","5","4968","4971","9/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"9/6/2023 09:57:29"
"113","2","1774","4971","10/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"10/6/2023 08:08:23"
"114","2","5420","4629","10/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"10/6/2023 09:39:51"
"115","1","4868","4971","10/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"10/6/2023 09:43:15"
"116","2","5420","4629","13/6/2023","4","2.3","9.2","1/1/1 00:00:00",,"13/6/2023 10:14:27"
"117","2","1774","4629","13/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/6/2023 10:14:43"
"118","2","4868","4629","13/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/6/2023 10:15:00"
"119","2","1774","4971","13/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/6/2023 17:36:33"
"120","5","4968","4971","13/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/6/2023 17:36:51"
"121","4","5420","4971","13/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/6/2023 17:40:16"
"122","1","4868","4971","13/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/6/2023 17:40:35"
"123","4","4973","4971","14/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/6/2023 10:09:39"
"124","2","1774","4971","14/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"14/6/2023 10:09:57"
"125","5","4868","4971","14/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/6/2023 10:10:22"
"126","4","5420","4971","14/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/6/2023 10:10:45"
"127","1","5418","4971","14/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/6/2023 13:59:17"
"128","2","1774","4971","16/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"16/6/2023 09:40:16"
"129","1","5420","4971","16/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"16/6/2023 09:40:36"
"130","5","4868","4971","16/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"16/6/2023 09:40:52"
"131","5","4968","4971","17/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"17/6/2023 09:07:27"
"132","2","5420","4629","19/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/6/2023 17:59:12"
"133","5","4968","4629","19/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"19/6/2023 17:59:27"
"134","2","5420","4629","20/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"20/6/2023 09:29:49"
